raw_sentence,tokens,tokens_no_stop,stemmed,lemmatized
"The greatest songs are without a doubt, Chrono Cross: Time's Scar, Magical Dreamers: The Wind, The Stars, and the Sea and Radical Dreamers: Unstolen Jewel.","['the', 'greatest', 'songs', 'are', 'without', 'a', 'doubt', 'chrono', 'cross', 'times', 'scar', 'magical', 'dreamers', 'the', 'wind', 'the', 'stars', 'and', 'the', 'sea', 'and', 'radical', 'dreamers', 'unstolen', 'jewel']","['greatest', 'songs', 'without', 'doubt', 'chrono', 'cross', 'times', 'scar', 'magical', 'dreamers', 'wind', 'stars', 'sea', 'radical', 'dreamers', 'unstolen', 'jewel']","['greatest', 'song', 'without', 'doubt', 'chrono', 'cross', 'time', 'scar', 'magic', 'dreamer', 'wind', 'star', 'sea', 'radic', 'dreamer', 'unstolen', 'jewel']","['greatest', 'song', 'without', 'doubt', 'chrono', 'cross', 'time', 'scar', 'magical', 'dreamer', 'wind', 'star', 'sea', 'radical', 'dreamer', 'unstolen', 'jewel']"
"(Translation varies) This music is perfect if you ask me, the best it can be.","['translation', 'varies', 'this', 'music', 'is', 'perfect', 'if', 'you', 'ask', 'me', 'the', 'best', 'it', 'can', 'be']","['translation', 'varies', 'music', 'perfect', 'ask', 'best']","['translat', 'vari', 'music', 'perfect', 'ask', 'best']","['translation', 'varies', 'music', 'perfect', 'ask', 'best']"
Yasunori Mitsuda just poured his heart on and wrote it down on paper.,"['yasunori', 'mitsuda', 'just', 'poured', 'his', 'heart', 'on', 'and', 'wrote', 'it', 'down', 'on', 'paper']","['yasunori', 'mitsuda', 'poured', 'heart', 'wrote', 'paper']","['yasunori', 'mitsuda', 'pour', 'heart', 'wrote', 'paper']","['yasunori', 'mitsuda', 'poured', 'heart', 'wrote', 'paper']"
"I am quite sure any of you actually taking the time to read this have played the game at least once, and heard at least a few of the tracks here.","['i', 'am', 'quite', 'sure', 'any', 'of', 'you', 'actually', 'taking', 'the', 'time', 'to', 'read', 'this', 'have', 'played', 'the', 'game', 'at', 'least', 'once', 'and', 'heard', 'at', 'least', 'a', 'few', 'of', 'the', 'tracks', 'here']","['quite', 'sure', 'actually', 'taking', 'time', 'read', 'played', 'game', 'least', 'heard', 'least', 'tracks']","['quit', 'sure', 'actual', 'take', 'time', 'read', 'play', 'game', 'least', 'heard', 'least', 'track']","['quite', 'sure', 'actually', 'taking', 'time', 'read', 'played', 'game', 'least', 'heard', 'least', 'track']"
"And whether you were aware of it or not, Mitsuda's music contributed greatly to the mood of every single minute of the whole game.Composed of 3 CDs and quite a few songs (I haven't an exact count), all of which are heart-rendering and impressively remarkable, this soundtrack is one I assure you you will not forget.","['and', 'whether', 'you', 'were', 'aware', 'of', 'it', 'or', 'not', 'mitsudas', 'music', 'contributed', 'greatly', 'to', 'the', 'mood', 'of', 'every', 'single', 'minute', 'of', 'the', 'whole', 'gamecomposed', 'of', 'cds', 'and', 'quite', 'a', 'few', 'songs', 'i', 'havent', 'an', 'exact', 'count', 'all', 'of', 'which', 'are', 'heartrendering', 'and', 'impressively', 'remarkable', 'this', 'soundtrack', 'is', 'one', 'i', 'assure', 'you', 'you', 'will', 'not', 'forget']","['whether', 'aware', 'mitsudas', 'music', 'contributed', 'greatly', 'mood', 'every', 'single', 'minute', 'whole', 'gamecomposed', 'cds', 'quite', 'songs', 'havent', 'exact', 'count', 'heartrendering', 'impressively', 'remarkable', 'soundtrack', 'one', 'assure', 'forget']","['whether', 'awar', 'mitsuda', 'music', 'contribut', 'greatli', 'mood', 'everi', 'singl', 'minut', 'whole', 'gamecompos', 'cd', 'quit', 'song', 'havent', 'exact', 'count', 'heartrend', 'impress', 'remark', 'soundtrack', 'one', 'assur', 'forget']","['whether', 'aware', 'mitsudas', 'music', 'contributed', 'greatly', 'mood', 'every', 'single', 'minute', 'whole', 'gamecomposed', 'cd', 'quite', 'song', 'havent', 'exact', 'count', 'heartrendering', 'impressively', 'remarkable', 'soundtrack', 'one', 'assure', 'forget']"
"It has everything for every listener -- from fast-paced and energetic (Dancing the Tokage or Termina Home), to slower and more haunting (Dragon God), to purely beautifully composed (Time's Scar), to even some fantastic vocals (Radical Dreamers).This is one of the best videogame soundtracks out there, and surely Mitsuda's best ever.","['it', 'has', 'everything', 'for', 'every', 'listener', 'from', 'fastpaced', 'and', 'energetic', 'dancing', 'the', 'tokage', 'or', 'termina', 'home', 'to', 'slower', 'and', 'more', 'haunting', 'dragon', 'god', 'to', 'purely', 'beautifully', 'composed', 'times', 'scar', 'to', 'even', 'some', 'fantastic', 'vocals', 'radical', 'dreamersthis', 'is', 'one', 'of', 'the', 'best', 'videogame', 'soundtracks', 'out', 'there', 'and', 'surely', 'mitsudas', 'best', 'ever']","['everything', 'every', 'listener', 'fastpaced', 'energetic', 'dancing', 'tokage', 'termina', 'home', 'slower', 'haunting', 'dragon', 'god', 'purely', 'beautifully', 'composed', 'times', 'scar', 'even', 'fantastic', 'vocals', 'radical', 'dreamersthis', 'one', 'best', 'videogame', 'soundtracks', 'surely', 'mitsudas', 'best', 'ever']","['everyth', 'everi', 'listen', 'fastpac', 'energet', 'danc', 'tokag', 'termina', 'home', 'slower', 'haunt', 'dragon', 'god', 'pure', 'beauti', 'compos', 'time', 'scar', 'even', 'fantast', 'vocal', 'radic', 'dreamersthi', 'one', 'best', 'videogam', 'soundtrack', 'sure', 'mitsuda', 'best', 'ever']","['everything', 'every', 'listener', 'fastpaced', 'energetic', 'dancing', 'tokage', 'termina', 'home', 'slower', 'haunting', 'dragon', 'god', 'purely', 'beautifully', 'composed', 'time', 'scar', 'even', 'fantastic', 'vocal', 'radical', 'dreamersthis', 'one', 'best', 'videogame', 'soundtrack', 'surely', 'mitsudas', 'best', 'ever']"
^_^,[],[],[],[]
"This is a self-published book, and if you want to know why--read a few paragraphs!","['this', 'is', 'a', 'selfpublished', 'book', 'and', 'if', 'you', 'want', 'to', 'know', 'whyread', 'a', 'few', 'paragraphs']","['selfpublished', 'book', 'want', 'know', 'whyread', 'paragraphs']","['selfpublish', 'book', 'want', 'know', 'whyread', 'paragraph']","['selfpublished', 'book', 'want', 'know', 'whyread', 'paragraph']"
"Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself!","['those', 'star', 'reviews', 'must', 'have', 'been', 'written', 'by', 'ms', 'haddons', 'family', 'and', 'friendsor', 'perhaps', 'by', 'herself']","['star', 'reviews', 'must', 'written', 'ms', 'haddons', 'family', 'friendsor', 'perhaps']","['star', 'review', 'must', 'written', 'ms', 'haddon', 'famili', 'friendsor', 'perhap']","['star', 'review', 'must', 'written', 'm', 'haddons', 'family', 'friendsor', 'perhaps']"
I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another.,"['i', 'cant', 'imagine', 'anyone', 'reading', 'the', 'whole', 'thingi', 'spent', 'an', 'evening', 'with', 'the', 'book', 'and', 'a', 'friend', 'and', 'we', 'were', 'in', 'hysterics', 'reading', 'bits', 'and', 'pieces', 'of', 'it', 'to', 'one', 'another']","['cant', 'imagine', 'anyone', 'reading', 'whole', 'thingi', 'spent', 'evening', 'book', 'friend', 'hysterics', 'reading', 'bits', 'pieces', 'one', 'another']","['cant', 'imagin', 'anyon', 'read', 'whole', 'thingi', 'spent', 'even', 'book', 'friend', 'hyster', 'read', 'bit', 'piec', 'one', 'anoth']","['cant', 'imagine', 'anyone', 'reading', 'whole', 'thingi', 'spent', 'evening', 'book', 'friend', 'hysteric', 'reading', 'bit', 'piece', 'one', 'another']"
"It is most definitely bad enough to be entered into some kind of a ""worst book"" contest.","['it', 'is', 'most', 'definitely', 'bad', 'enough', 'to', 'be', 'entered', 'into', 'some', 'kind', 'of', 'a', 'worst', 'book', 'contest']","['definitely', 'bad', 'enough', 'entered', 'kind', 'worst', 'book', 'contest']","['definit', 'bad', 'enough', 'enter', 'kind', 'worst', 'book', 'contest']","['definitely', 'bad', 'enough', 'entered', 'kind', 'worst', 'book', 'contest']"
I can't believe Amazon even sells this kind of thing.,"['i', 'cant', 'believe', 'amazon', 'even', 'sells', 'this', 'kind', 'of', 'thing']","['cant', 'believe', 'amazon', 'even', 'sells', 'kind', 'thing']","['cant', 'believ', 'amazon', 'even', 'sell', 'kind', 'thing']","['cant', 'believe', 'amazon', 'even', 'sell', 'kind', 'thing']"
"Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of.","['maybe', 'i', 'can', 'offer', 'them', 'my', 'th', 'grade', 'term', 'paper', 'on', 'to', 'kill', 'a', 'mockingbirda', 'book', 'i', 'am', 'quite', 'sure', 'ms', 'haddon', 'never', 'heard', 'of']","['maybe', 'offer', 'th', 'grade', 'term', 'paper', 'kill', 'mockingbirda', 'book', 'quite', 'sure', 'ms', 'haddon', 'never', 'heard']","['mayb', 'offer', 'th', 'grade', 'term', 'paper', 'kill', 'mockingbirda', 'book', 'quit', 'sure', 'ms', 'haddon', 'never', 'heard']","['maybe', 'offer', 'th', 'grade', 'term', 'paper', 'kill', 'mockingbirda', 'book', 'quite', 'sure', 'm', 'haddon', 'never', 'heard']"
"Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!","['anyway', 'unless', 'you', 'are', 'in', 'a', 'mood', 'to', 'send', 'a', 'book', 'to', 'someone', 'as', 'a', 'jokestay', 'far', 'far', 'away', 'from', 'this', 'one']","['anyway', 'unless', 'mood', 'send', 'book', 'someone', 'jokestay', 'far', 'far', 'away', 'one']","['anyway', 'unless', 'mood', 'send', 'book', 'someon', 'jokestay', 'far', 'far', 'away', 'one']","['anyway', 'unless', 'mood', 'send', 'book', 'someone', 'jokestay', 'far', 'far', 'away', 'one']"
I loved Whisper of the wicked saints.,"['i', 'loved', 'whisper', 'of', 'the', 'wicked', 'saints']","['loved', 'whisper', 'wicked', 'saints']","['love', 'whisper', 'wick', 'saint']","['loved', 'whisper', 'wicked', 'saint']"
The story was amazing and I was pleasantly surprised at the changes in the book.,"['the', 'story', 'was', 'amazing', 'and', 'i', 'was', 'pleasantly', 'surprised', 'at', 'the', 'changes', 'in', 'the', 'book']","['story', 'amazing', 'pleasantly', 'surprised', 'changes', 'book']","['stori', 'amaz', 'pleasantli', 'surpris', 'chang', 'book']","['story', 'amazing', 'pleasantly', 'surprised', 'change', 'book']"
"I am not normaly someone who is into romance novels, but the world was raving about this book and so I bought it.","['i', 'am', 'not', 'normaly', 'someone', 'who', 'is', 'into', 'romance', 'novels', 'but', 'the', 'world', 'was', 'raving', 'about', 'this', 'book', 'and', 'so', 'i', 'bought', 'it']","['normaly', 'someone', 'romance', 'novels', 'world', 'raving', 'book', 'bought']","['normali', 'someon', 'romanc', 'novel', 'world', 'rave', 'book', 'bought']","['normaly', 'someone', 'romance', 'novel', 'world', 'raving', 'book', 'bought']"
I loved it !,"['i', 'loved', 'it']",['loved'],['love'],['loved']
!,[],[],[],[]
This is a brilliant story because it is so true.,"['this', 'is', 'a', 'brilliant', 'story', 'because', 'it', 'is', 'so', 'true']","['brilliant', 'story', 'true']","['brilliant', 'stori', 'true']","['brilliant', 'story', 'true']"
This book was so wonderful that I have told all of my friends to read it.,"['this', 'book', 'was', 'so', 'wonderful', 'that', 'i', 'have', 'told', 'all', 'of', 'my', 'friends', 'to', 'read', 'it']","['book', 'wonderful', 'told', 'friends', 'read']","['book', 'wonder', 'told', 'friend', 'read']","['book', 'wonderful', 'told', 'friend', 'read']"
"It is not a typical romance, it is so much more.","['it', 'is', 'not', 'a', 'typical', 'romance', 'it', 'is', 'so', 'much', 'more']","['typical', 'romance', 'much']","['typic', 'romanc', 'much']","['typical', 'romance', 'much']"
"Not reading this book is a crime, becuase you are missing out on a heart warming story.","['not', 'reading', 'this', 'book', 'is', 'a', 'crime', 'becuase', 'you', 'are', 'missing', 'out', 'on', 'a', 'heart', 'warming', 'story']","['reading', 'book', 'crime', 'becuase', 'missing', 'heart', 'warming', 'story']","['read', 'book', 'crime', 'becuas', 'miss', 'heart', 'warm', 'stori']","['reading', 'book', 'crime', 'becuase', 'missing', 'heart', 'warming', 'story']"
I just finished reading Whisper of the Wicked saints.,"['i', 'just', 'finished', 'reading', 'whisper', 'of', 'the', 'wicked', 'saints']","['finished', 'reading', 'whisper', 'wicked', 'saints']","['finish', 'read', 'whisper', 'wick', 'saint']","['finished', 'reading', 'whisper', 'wicked', 'saint']"
I fell in love with the caracters.,"['i', 'fell', 'in', 'love', 'with', 'the', 'caracters']","['fell', 'love', 'caracters']","['fell', 'love', 'caract']","['fell', 'love', 'caracters']"
"I expected an average romance read, but instead I found one of my favorite books of all time.","['i', 'expected', 'an', 'average', 'romance', 'read', 'but', 'instead', 'i', 'found', 'one', 'of', 'my', 'favorite', 'books', 'of', 'all', 'time']","['expected', 'average', 'romance', 'read', 'instead', 'found', 'one', 'favorite', 'books', 'time']","['expect', 'averag', 'romanc', 'read', 'instead', 'found', 'one', 'favorit', 'book', 'time']","['expected', 'average', 'romance', 'read', 'instead', 'found', 'one', 'favorite', 'book', 'time']"
Just when I thought I could predict the outcome I was shocked !,"['just', 'when', 'i', 'thought', 'i', 'could', 'predict', 'the', 'outcome', 'i', 'was', 'shocked']","['thought', 'could', 'predict', 'outcome', 'shocked']","['thought', 'could', 'predict', 'outcom', 'shock']","['thought', 'could', 'predict', 'outcome', 'shocked']"
The writting was so descriptive that my heart broke when Julia's did and I felt as if I was there with them instead of just a distant reader.,"['the', 'writting', 'was', 'so', 'descriptive', 'that', 'my', 'heart', 'broke', 'when', 'julias', 'did', 'and', 'i', 'felt', 'as', 'if', 'i', 'was', 'there', 'with', 'them', 'instead', 'of', 'just', 'a', 'distant', 'reader']","['writting', 'descriptive', 'heart', 'broke', 'julias', 'felt', 'instead', 'distant', 'reader']","['writ', 'descript', 'heart', 'broke', 'julia', 'felt', 'instead', 'distant', 'reader']","['writting', 'descriptive', 'heart', 'broke', 'julias', 'felt', 'instead', 'distant', 'reader']"
If you are a lover of romance novels then this is a must read.,"['if', 'you', 'are', 'a', 'lover', 'of', 'romance', 'novels', 'then', 'this', 'is', 'a', 'must', 'read']","['lover', 'romance', 'novels', 'must', 'read']","['lover', 'romanc', 'novel', 'must', 'read']","['lover', 'romance', 'novel', 'must', 'read']"
